customer_id,message,timestamp,category,sentiment,sentiment_label
193537,@AppleSupport Contacts disappear https://t.co/aTm4UICg1J is behaving https://t.co/iJcKXGB4XY has become very slow..lot of others issues as well..m unhappy,Sat Oct 07 17:00:58 +0000 2017,General Issue,-0.19999999999999998,Negative
201998,@AppleSupport @4150 yes I have,Tue Oct 24 15:11:11 +0000 2017,General Issue,0.0,Neutral
316063,@Postmates_Help No!!!!! I noped out of this order when I saw a $77 authorization on a $15 order!! That’s ridiculous,Thu Oct 12 23:36:36 +0000 2017,General Issue,-0.3333333333333333,Negative
416354,@idea_cares Offer was showing 84 days but find only for 14 days,Thu Oct 26 12:23:41 +0000 2017,General Issue,0.0,Neutral
689755,Love this @marksandspencer sums my Monday right up https://t.co/BgIg4HyxiK,Mon Nov 13 19:10:59 +0000 2017,General Issue,0.39285714285714285,Positive
405351,What a lovely morning delivery from @AldiUK can't wait to taste them &amp; the Irish Cream will be saved for Christmas #AldiWineClub https://t.co/xO1fBAngIz,Wed Oct 25 16:36:01 +0000 2017,General Issue,0.25,Positive
177005,"@116253 FYI, rapid order pickup was a bit slow today. Ordered at 9:09, should be ready by 9:19, arrived at 9:26. Happy Sunday :) https://t.co/dWjaSIgl1t",Sun Nov 05 17:37:36 +0000 2017,General Issue,0.3,Positive
774543,@AmazonHelp When is it expected in the uk? Google had it on chrome cast for ages! Come on @116439 sort it out!!,Tue Nov 21 14:07:44 +0000 2017,General Issue,-0.1953125,Negative
313382,@115888 is there a version of ‘teenage dirtbag’ by wheetus that’s unedited? Like on that says all the words in the song?,Mon Oct 16 19:02:16 +0000 2017,General Issue,0.0,Neutral
196792,@AmazonHelp It's all just excuse,Sat Nov 04 14:45:10 +0000 2017,General Issue,-0.05,Negative
327497,@SpotifyCares Send!,Fri Oct 20 21:08:59 +0000 2017,General Issue,0.0,Neutral
370248,"Cancel your tickets , flights &amp; plans guys .... glad I didn't get tickets now , it's a dud 🤔#SpringsteenBroadway https://t.co/MmICG4bv44",Fri Oct 13 06:25:55 +0000 2017,General Issue,0.5,Positive
415140,@117372 @53044 second time visiting the restaurant for my fathers 68th. What a disaster #verypoor #notimpressed,Sat Oct 21 21:24:21 +0000 2017,General Issue,0.0,Neutral
457111,@sainsburys I HONESTLY DONT KNOW BUT I AM VERY CONCERNED PLS HELP,Thu Nov 02 13:58:18 +0000 2017,General Issue,0.4,Positive
394525,@UPSHelp you're one of the worst services I have ever used. how comes you pick up an item and deliver it to the same place.  😐😐,Tue Oct 24 15:12:18 +0000 2017,General Issue,-0.5,Negative
125995,@GWRHelp Your apology doesn't give me my time back does it... If I added up the amount of time wasted waiting on your platforms...,Thu Oct 19 16:00:49 +0000 2017,General Issue,-0.1,Negative
507768,@Safaricom_Care This is a Fraudster https://t.co/VTuAr5lzE2,Mon Nov 06 09:26:22 +0000 2017,General Issue,0.0,Neutral
196059,@AppleSupport @115858 @115948 where has all my purchased music gone from my itunes???,Sat Oct 07 19:18:35 +0000 2017,General Issue,0.0,Neutral
443464,@VerizonSupport Dodging grenades like its Vietnam. Ha. Too funny. https://t.co/jILR6Eey9J,Sat Oct 28 11:46:58 +0000 2017,General Issue,0.25,Positive
783977,"@ComcastCares
#mobile_Care Evening. I tried to add The TFC Channel 241 (Seattle Market) and it still shows up with error code: XRE-03121",Wed Nov 22 06:55:25 +0000 2017,General Issue,0.0,Neutral
145497,Internet and cable has been down for my entire building since 9pm 🤦🏾‍♂️ thanks @Ask_Spectrum,Fri Nov 24 06:35:17 +0000 2017,General Issue,0.014814814814814817,Positive
359771,"In typical fashion, @AmericanAir delays my flight due to maintenance for maintenance that,in fact, was already completed. Pathetic. Sad!",Sat Oct 14 14:19:19 +0000 2017,Delivery Issue,-0.47916666666666663,Negative
317710,My flights today and Friday were last minute so I didn't book @SouthwestAir and on every flight I've been reminded shy I ALWAYS book SW,Sun Oct 08 23:59:09 +0000 2017,General Issue,-0.25,Negative
364298,@comcastcares Ok thank you. You to when you go to sleep lol,Mon Oct 23 05:21:47 +0000 2017,General Issue,0.65,Positive
126406,I honestly think the happiest place on earth is Walmart. Can't live without it.,Wed Oct 18 17:21:53 +0000 2017,General Issue,0.36818181818181817,Positive
692159,"@AppleSupport So after I've installed the Sierra high, I can't get into Machintosh HAD, because of the error, I've sent you a screenshot in a previous message",Tue Nov 14 16:34:56 +0000 2017,General Issue,-0.003333333333333327,Negative
553093,@AskTarget all settled thank you! #targetlove 🎯 (walk in for paper towels walk out with a new wardrobe and bathroom decor),Sat Oct 21 18:00:19 +0000 2017,General Issue,0.13636363636363635,Positive
131541,Idea sucks @idea_cares https://t.co/mrAHWmmFDG,Wed Nov 29 08:21:53 +0000 2017,General Issue,-0.3,Negative
